1:0:1:C1F:1E78:71:820000:0:0:0:,FOXLIFE HD,
1:0:1:1CCF:1CE8:71:820000:0:0:0:,Fox Life,
1:0:1:A:3200:13E:820000:0:0:0:,Comedy Central Polska,
1:0:1:4:3200:13E:820000:0:0:0:,Comedy Family,
1:0:1:290F:1EDC:71:820000:0:0:0:,ATM Rozrywka TV,
1:0:1:1C85:1CE8:71:820000:0:0:0:,Zone Romantica,
1:0:1:3ABE:514:13E:820000:0:0:0:,ROMANCE TV HD,
1:0:1:3786:44C:13E:820000:0:0:0:,Novela TV,
1:0:1:E06:2D50:13E:820000:0:0:0:,BBC HD,
1:0:1:E08:2D50:13E:820000:0:0:0:,BBC KNOWLEDGE HD,
1:0:1:390B:32C8:13E:820000:0:0:0:,BBC Knowledge,
1:0:1:32DF:190:13E:820000:0:0:0:,NATIONAL GEO HD,
1:0:1:3D5E:2C88:13E:820000:0:0:0:,National Geographic,
1:0:1:3B65:12C:13E:820000:0:0:0:,NAT GEO WILD HD,
1:0:1:1C8B:1CE8:71:820000:0:0:0:,Nat Geo Wild,
1:0:1:3AB8:514:13E:820000:0:0:0:,DISCOVERY HD,
1:0:1:3D64:2C88:13E:820000:0:0:0:,Discovery Ch.Polska,
1:0:1:3D57:2C88:13E:820000:0:0:0:,Discovery World Polska,
1:0:1:3D55:2C88:13E:820000:0:0:0:,Discovery Science Polska,
1:0:1:3914:32C8:13E:820000:0:0:0:,Discovery ID,
1:0:1:1C9C:332C:13E:820000:0:0:0:,Polsat Crime Investigation,
1:0:1:DB2:2D50:13E:820000:0:0:0:,Discovery Historia Polska,
1:0:1:1139:2AF8:13E:820000:0:0:0:,History Channel Pl,
1:0:1:C2F:1E78:71:820000:0:0:0:,HISTORY HD,
1:0:1:DC4:2D50:13E:820000:0:0:0:,TVP Historia,
1:0:1:377E:44C:13E:820000:0:0:0:,PLANETE+ HD PL,
1:0:1:1136:2AF8:13E:820000:0:0:0:,Planete+,
1:0:1:3785:44C:13E:820000:0:0:0:,Planet Water,
1:0:1:3B66:12C:13E:820000:0:0:0:,ANIMAL PLANET HD,
1:0:1:1402:5DC:13E:820000:0:0:0:,Animal Planet,
1:0:1:1407:5DC:13E:820000:0:0:0:,Zone Reality,
1:0:1:3915:32C8:13E:820000:0:0:0:,TLC Polska,
1:0:1:1406:5DC:13E:820000:0:0:0:,Club TV Polska,
1:0:1:390A:32C8:13E:820000:0:0:0:,BBC Entertainmen,
1:0:1:390C:32C8:13E:820000:0:0:0:,BBC Lifestyle,
1:0:1:2918:1EDC:71:820000:0:0:0:,Travel Channel,
1:0:1:10DD:3E8:13E:820000:0:0:0:,TTV,
1:0:1:13EE:5DC:13E:820000:0:0:0:,TVS - TV Silesia,
1:0:1:290E:1EDC:71:820000:0:0:0:,TV6 (Poland),
1:0:1:3780:44C:13E:820000:0:0:0:,DOMO+ HD,
1:0:1:12CB:2E7C:13E:820000:0:0:0:,Domo TV,
1:0:1:332E:3390:71:820000:0:0:0:,Polsat Play,
1:0:1:3332:3390:71:820000:0:0:0:,Polsat Cafe,
1:0:1:113A:2AF8:13E:820000:0:0:0:,Rodin TV,
1:0:1:1235:2B5C:13E:820000:0:0:0:,Wedding TV,
1:0:1:13F9:5DC:13E:820000:0:0:0:,TVP Kultura,
1:0:1:3D5B:2C88:13E:820000:0:0:0:,Edusat/Gamesat,
1:0:1:377F:44C:13E:820000:0:0:0:,KUCHNIA+ HD,
1:0:1:12C4:2E7C:13E:820000:0:0:0:,Kuchnia TV,
1:0:1:13ED:5DC:13E:820000:0:0:0:,TV Polonia,
1:0:1:1292:3458:13E:820000:0:0:0:,TVR,
1:0:1:3D5A:2C88:13E:820000:0:0:0:,Polonia 1,
1:0:1:271:3C8C:13E:820000:0:0:0:,Kosmica TV (Polska),
1:0:1:2013:24B8:13E:820000:0:0:0:,EuroNews,
1:0:1:1B03:3FE:1:C00000:0:0:0:,TV5 Monde Eu. (txt Pl),
1:0:1:3333:3390:71:820000:0:0:0:,TV Biznes,
1:0:1:10DE:3E8:13E:820000:0:0:0:,TVN Meteo,
1:0:1:10E2:3E8:13E:820000:0:0:0:,TVN CNBC,
